IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
183.236.51.57,25914,TRUE,TPE,TW,Asia Pacific,Taipei,9808,"China Mobile Communications Group Co., Ltd.",232,16.32
163.177.58.169,35171,TRUE,TPE,TW,Asia Pacific,Taipei,135061,China Unicom Guangdong IP network,151,17.22
14.119.112.72,27850,TRUE,HKG,HK,Asia Pacific,Hong Kong,4134,Chinanet,129,60.44
183.94.30.165,47428,TRUE,SIN,SG,Asia Pacific,Singapore,4837,CHINA UNICOM China169 Backbone,501,17.48
183.94.30.165,45382,TRUE,TPE,TW,Asia Pacific,Taipei,4837,CHINA UNICOM China169 Backbone,351,12.33
